'07/04/2021 16:47:19.046607', '74066', '68538', '1885'
'07/04/2021 16:47:19.051703', '74067', '68539', '1835'
'07/04/2021 16:47:19.056436', '74056', '68529', '1821'
'07/04/2021 16:47:19.061523', '74020', '68510', '1874'
'07/04/2021 16:47:19.066652', '73968', '68475', '1890'
'07/04/2021 16:47:19.072138', '73887', '68426', '1829'
'07/04/2021 16:47:19.076479', '73785', '68382', '1813'
'07/04/2021 16:47:19.081725', '73684', '68323', '1850'
'07/04/2021 16:47:19.086421', '73570', '68268', '1879'
'07/04/2021 16:47:19.091493', '73461', '68219', '1840'
'07/04/2021 16:47:19.096615', '73360', '68174', '1834'
'07/04/2021 16:47:19.101682', '73268', '68132', '1875'
'07/04/2021 16:47:19.106763', '73187', '68100', '1889'
'07/04/2021 16:47:19.111452', '73136', '68075', '1840'
'07/04/2021 16:47:19.116515', '73098', '68052', '1829'
'07/04/2021 16:47:19.121608', '73067', '68037', '1863'
'07/04/2021 16:47:19.126678', '73041', '68029', '1874'
'07/04/2021 16:47:19.131758', '73014', '68013', '1821'
'07/04/2021 16:47:19.136551', '72998', '68008', '1821'
'07/04/2021 16:47:19.141644', '72984', '67999', '1874'
'07/04/2021 16:47:19.146731', '72981', '67994', '1886'
'07/04/2021 16:47:19.151460', '72972', '67991', '1837'
'07/04/2021 16:47:19.156560', '72972', '67993', '1831'
'07/04/2021 16:47:19.161652', '72978', '67996', '1872'
'07/04/2021 16:47:19.166746', '72987', '67996', '1889'
'07/04/2021 16:47:19.171457', '72983', '67999', '1849'
'07/04/2021 16:47:19.176475', '72996', '68005', '1826'
'07/04/2021 16:47:19.181488', '73016', '68008', '1869'
'07/04/2021 16:47:19.186599', '73028', '68020', '1894'
'07/04/2021 16:47:19.191688', '73050', '68028', '1830'
'07/04/2021 16:47:19.196807', '73062', '68030', '1808'
'07/04/2021 16:47:19.201510', '73081', '68040', '1872'
'07/04/2021 16:47:19.206631', '73102', '68051', '1903'
'07/04/2021 16:47:19.212822', '73129', '68059', '1815'
'07/04/2021 16:47:19.216844', '73154', '68071', '1817'
'07/04/2021 16:47:19.221515', '73183', '68085', '1856'
'07/04/2021 16:47:19.226602', '73215', '68096', '1883'
'07/04/2021 16:47:19.231673', '73247', '68106', '1838'
'07/04/2021 16:47:19.236760', '73283', '68125', '1844'
'07/04/2021 16:47:19.241844', '73313', '68134', '1865'
'07/04/2021 16:47:19.246717', '73352', '68153', '1875'
'07/04/2021 16:47:19.251538', '73404', '68169', '1841'
'07/04/2021 16:47:19.256583', '73455', '68192', '1823'
'07/04/2021 16:47:19.261913', '73520', '68213', '1871'
'07/04/2021 16:47:19.266555', '73582', '68234', '1885'
'07/04/2021 16:47:19.271644', '73639', '68258', '1847'
'07/04/2021 16:47:19.276969', '73710', '68291', '1840'
'07/04/2021 16:47:19.282505', '73769', '68310', '1873'
'07/04/2021 16:47:19.287244', '73825', '68331', '1882'
'07/04/2021 16:47:19.291892', '73882', '68353', '1834'
'07/04/2021 16:47:19.296540', '73931', '68368', '1825'
'07/04/2021 16:47:19.301613', '73974', '68388', '1871'
'07/04/2021 16:47:19.306698', '74024', '68406', '1890'
'07/04/2021 16:47:19.311781', '74062', '68419', '1840'
'07/04/2021 16:47:19.316874', '74088', '68431', '1824'
'07/04/2021 16:47:19.321958', '74106', '68444', '1872'
'07/04/2021 16:47:19.326615', '74130', '68452', '1887'
'07/04/2021 16:47:19.331709', '74147', '68462', '1826'
'07/04/2021 16:47:19.337703', '74165', '68466', '1810'
'07/04/2021 16:47:19.342029', '74175', '68469', '1860'
'07/04/2021 16:47:19.346814', '74177', '68473', '1879'
'07/04/2021 16:47:19.351939', '74183', '68470', '1830'
'07/04/2021 16:47:19.356618', '74176', '68472', '1824'
'07/04/2021 16:47:19.361732', '74178', '68469', '1863'
'07/04/2021 16:47:19.366840', '74185', '68466', '1887'
'07/04/2021 16:47:19.371947', '74180', '68462', '1840'
'07/04/2021 16:47:19.376647', '74179', '68462', '1824'
'07/04/2021 16:47:19.381684', '74179', '68463', '1869'
'07/04/2021 16:47:19.386933', '74186', '68462', '1888'
'07/04/2021 16:47:19.391614', '74191', '68456', '1846'
'07/04/2021 16:47:19.396722', '74186', '68457', '1830'
'07/04/2021 16:47:19.401840', '74202', '68460', '1876'
'07/04/2021 16:47:19.406950', '74203', '68461', '1894'
'07/04/2021 16:47:19.411647', '74205', '68465', '1841'
'07/04/2021 16:47:19.416765', '74213', '68468', '1823'
'07/04/2021 16:47:19.421891', '74229', '68465', '1862'
'07/04/2021 16:47:19.427010', '74235', '68470', '1893'
'07/04/2021 16:47:19.431715', '74236', '68474', '1832'
'07/04/2021 16:47:19.436906', '74252', '68476', '1821'
'07/04/2021 16:47:19.442026', '74268', '68480', '1870'
'07/04/2021 16:47:19.446731', '74267', '68484', '1889'
'07/04/2021 16:47:19.451874', '74283', '68489', '1840'
'07/04/2021 16:47:19.457005', '74302', '68494', '1819'
'07/04/2021 16:47:19.461779', '74317', '68504', '1846'
'07/04/2021 16:47:19.466686', '74336', '68510', '1875'
'07/04/2021 16:47:19.471707', '74357', '68517', '1839'
'07/04/2021 16:47:19.476927', '74376', '68523', '1819'
'07/04/2021 16:47:19.481755', '74397', '68528', '1856'
'07/04/2021 16:47:19.487480', '74410', '68535', '1882'
'07/04/2021 16:47:19.491733', '74431', '68540', '1835'
'07/04/2021 16:47:19.496791', '74455', '68546', '1822'
'07/04/2021 16:47:19.501837', '74476', '68557', '1871'
'07/04/2021 16:47:19.506968', '74491', '68563', '1878'
'07/04/2021 16:47:19.511803', '74507', '68570', '1840'
'07/04/2021 16:47:19.516868', '74520', '68579', '1819'
'07/04/2021 16:47:19.521923', '74549', '68584', '1859'
'07/04/2021 16:47:19.527053', '74563', '68590', '1879'
'07/04/2021 16:47:19.532106', '74580', '68598', '1842'
'07/04/2021 16:47:19.536924', '74594', '68607', '1835'
'07/04/2021 16:47:19.542010', '74610', '68613', '1872'
'07/04/2021 16:47:19.547087', '74625', '68615', '1874'
'07/04/2021 16:47:19.551778', '74639', '68624', '1841'
'07/04/2021 16:47:19.556860', '74663', '68631', '1825'
'07/04/2021 16:47:19.561936', '74685', '68643', '1872'
'07/04/2021 16:47:19.567034', '74704', '68647', '1894'
'07/04/2021 16:47:19.572112', '74722', '68655', '1850'
'07/04/2021 16:47:19.576833', '74746', '68665', '1838'
'07/04/2021 16:47:19.581908', '74769', '68677', '1872'
'07/04/2021 16:47:19.586905', '74811', '68685', '1874'
'07/04/2021 16:47:19.592057', '74828', '68691', '1836'
'07/04/2021 16:47:19.597138', '74859', '68706', '1821'
'07/04/2021 16:47:19.601841', '74879', '68719', '1867'
'07/04/2021 16:47:19.606925', '74915', '68722', '1885'
'07/04/2021 16:47:19.612035', '74950', '68736', '1838'
'07/04/2021 16:47:19.617128', '74976', '68746', '1810'
'07/04/2021 16:47:19.621841', '74986', '68755', '1861'
'07/04/2021 16:47:19.626926', '75011', '68764', '1878'
