'20/04/2021 23:56:39.953040', '71178', '68661', '1842'
'20/04/2021 23:56:39.955757', '71150', '68657', '1840'
'20/04/2021 23:56:39.958095', '71144', '68648', '1850'
'20/04/2021 23:56:39.960703', '71122', '68644', '1857'
'20/04/2021 23:56:39.963102', '71125', '68637', '1872'
'20/04/2021 23:56:39.965434', '71107', '68632', '1871'
'20/04/2021 23:56:39.968160', '71098', '68625', '1859'
'20/04/2021 23:56:39.970664', '71093', '68627', '1840'
'20/04/2021 23:56:39.973011', '71084', '68618', '1833'
'20/04/2021 23:56:39.975748', '71084', '68621', '1824'
'20/04/2021 23:56:39.978098', '71076', '68615', '1834'
'20/04/2021 23:56:39.980431', '71077', '68612', '1851'
'20/04/2021 23:56:39.983167', '71065', '68610', '1869'
'20/04/2021 23:56:39.985517', '71061', '68607', '1873'
'20/04/2021 23:56:39.987877', '71066', '68607', '1862'
'20/04/2021 23:56:39.990608', '71068', '68612', '1851'
'20/04/2021 23:56:39.992962', '71072', '68612', '1850'
'20/04/2021 23:56:39.995320', '71065', '68612', '1819'
'20/04/2021 23:56:39.998076', '71065', '68609', '1846'
'20/04/2021 23:56:40.000421', '71081', '68605', '1856'
'20/04/2021 23:56:40.003171', '71079', '68609', '1872'
'20/04/2021 23:56:40.005534', '71079', '68614', '1873'
'20/04/2021 23:56:40.007903', '71086', '68606', '1865'
'20/04/2021 23:56:40.010665', '71079', '68606', '1845'
'20/04/2021 23:56:40.013036', '71085', '68610', '1837'
'20/04/2021 23:56:40.015403', '71097', '68617', '1837'
'20/04/2021 23:56:40.018162', '71109', '68621', '1846'
'20/04/2021 23:56:40.020907', '71110', '68622', '1862'
'20/04/2021 23:56:40.022889', '71117', '68617', '1872'
'20/04/2021 23:56:40.027232', '71120', '68627', '1867'
'20/04/2021 23:56:40.028450', '71123', '68625', '1866'
'20/04/2021 23:56:40.030380', '71145', '68630', '1855'
'20/04/2021 23:56:40.033082', '71139', '68635', '1843'
'20/04/2021 23:56:40.035373', '71155', '68634', '1885'
'20/04/2021 23:56:40.038079', '71167', '68633', '1846'
'20/04/2021 23:56:40.040395', '71174', '68648', '1853'
'20/04/2021 23:56:40.043110', '71190', '68650', '1869'
'20/04/2021 23:56:40.046525', '71191', '68659', '1871'
'20/04/2021 23:56:40.048055', '71202', '68657', '1863'
'20/04/2021 23:56:40.050358', '71195', '68669', '1855'
'20/04/2021 23:56:40.053079', '71230', '68672', '1840'
'20/04/2021 23:56:40.055384', '71241', '68678', '1834'
'20/04/2021 23:56:40.057709', '71265', '68680', '1839'
'20/04/2021 23:56:40.060421', '71258', '68672', '1855'
'20/04/2021 23:56:40.062752', '71269', '68679', '1860'
'20/04/2021 23:56:40.065554', '71277', '68689', '1871'
'20/04/2021 23:56:40.067890', '71291', '68690', '1858'
'20/04/2021 23:56:40.070205', '71302', '68693', '1847'
'20/04/2021 23:56:40.072927', '71315', '68695', '1841'
'20/04/2021 23:56:40.075217', '71331', '68694', '1839'
'20/04/2021 23:56:40.078013', '71337', '68706', '1843'
'20/04/2021 23:56:40.080339', '71350', '68708', '1854'
'20/04/2021 23:56:40.082686', '71364', '68720', '1867'
'20/04/2021 23:56:40.085412', '71374', '68715', '1873'
'20/04/2021 23:56:40.087757', '71388', '68725', '1869'
'20/04/2021 23:56:40.090494', '71405', '68727', '1857'
'20/04/2021 23:56:40.092837', '71408', '68729', '1826'
'20/04/2021 23:56:40.095171', '71421', '68739', '1840'
'20/04/2021 23:56:40.097852', '71423', '68746', '1850'
'20/04/2021 23:56:40.100184', '71445', '68751', '1853'
'20/04/2021 23:56:40.103232', '71446', '68747', '1871'
'20/04/2021 23:56:40.105176', '71458', '68744', '1873'
'20/04/2021 23:56:40.107922', '71466', '68747', '1865'
'20/04/2021 23:56:40.110278', '71473', '68751', '1849'
'20/04/2021 23:56:40.112623', '71481', '68759', '1850'
'20/04/2021 23:56:40.115379', '71494', '68763', '1853'
'20/04/2021 23:56:40.117739', '71502', '68767', '1863'
'20/04/2021 23:56:40.120100', '71504', '68767', '1872'
'20/04/2021 23:56:40.122851', '71515', '68778', '1872'
'20/04/2021 23:56:40.125198', '71522', '68778', '1872'
'20/04/2021 23:56:40.127946', '71525', '68776', '1862'
'20/04/2021 23:56:40.130327', '71534', '68787', '1846'
'20/04/2021 23:56:40.132697', '71538', '68784', '1842'
'20/04/2021 23:56:40.135070', '71545', '68785', '1841'
'20/04/2021 23:56:40.137824', '71547', '68779', '1856'
'20/04/2021 23:56:40.140180', '71563', '68795', '1863'
'20/04/2021 23:56:40.142601', '71558', '68793', '1866'
'20/04/2021 23:56:40.145363', '71563', '68800', '1869'
'20/04/2021 23:56:40.147739', '71564', '68793', '1858'
'20/04/2021 23:56:40.152335', '71590', '68790', '1833'
'20/04/2021 23:56:40.153564', '71589', '68798', '1833'
'20/04/2021 23:56:40.155097', '71580', '68798', '1827'
'20/04/2021 23:56:40.157784', '71597', '68795', '1841'
'20/04/2021 23:56:40.161218', '71595', '68795', '1854'
'20/04/2021 23:56:40.162741', '71597', '68803', '1860'
'20/04/2021 23:56:40.165040', '71607', '68798', '1867'
'20/04/2021 23:56:40.167976', '71607', '68801', '1843'
'20/04/2021 23:56:40.170297', '71603', '68812', '1842'
'20/04/2021 23:56:40.172602', '71597', '68810', '1829'
'20/04/2021 23:56:40.175450', '71610', '68799', '1829'
'20/04/2021 23:56:40.177766', '71608', '68811', '1841'
'20/04/2021 23:56:40.180081', '71619', '68812', '1853'
'20/04/2021 23:56:40.182784', '71623', '68811', '1859'
'20/04/2021 23:56:40.185107', '71625', '68814', '1849'
'20/04/2021 23:56:40.187811', '71617', '68812', '1860'
'20/04/2021 23:56:40.190133', '71623', '68808', '1843'
'20/04/2021 23:56:40.192455', '71625', '68816', '1840'
'20/04/2021 23:56:40.195171', '71632', '68814', '1831'
'20/04/2021 23:56:40.197506', '71636', '68813', '1838'
'20/04/2021 23:56:40.200222', '71639', '68813', '1849'
'20/04/2021 23:56:40.202550', '71630', '68819', '1863'
'20/04/2021 23:56:40.205285', '71641', '68816', '1868'
'20/04/2021 23:56:40.207608', '71647', '68816', '1862'
'20/04/2021 23:56:40.209938', '71652', '68819', '1851'
'20/04/2021 23:56:40.212678', '71655', '68825', '1845'
'20/04/2021 23:56:40.215013', '71650', '68821', '1842'
'20/04/2021 23:56:40.217749', '71655', '68808', '1866'
'20/04/2021 23:56:40.220093', '71657', '68824', '1863'
'20/04/2021 23:56:40.222425', '71661', '68827', '1871'
'20/04/2021 23:56:40.225945', '71663', '68823', '1847'
'20/04/2021 23:56:40.227506', '71668', '68826', '1845'
'20/04/2021 23:56:40.230242', '71690', '68833', '1842'
'20/04/2021 23:56:40.232757', '71670', '68827', '1844'
'20/04/2021 23:56:40.235112', '71683', '68831', '1841'
'20/04/2021 23:56:40.237471', '71688', '68824', '1854'
'20/04/2021 23:56:40.240215', '71693', '68837', '1863'
'20/04/2021 23:56:40.242566', '71696', '68840', '1903'
'20/04/2021 23:56:40.244925', '71690', '68845', '1875'
'20/04/2021 23:56:40.247687', '71707', '68839', '1871'
'20/04/2021 23:56:40.250052', '71712', '68844', '1860'
'20/04/2021 23:56:40.252405', '71711', '68841', '1850'
'20/04/2021 23:56:40.255155', '71719', '68847', '1843'
'20/04/2021 23:56:40.257525', '71726', '68848', '1846'
'20/04/2021 23:56:40.259894', '71746', '68853', '1857'
'20/04/2021 23:56:40.262656', '71744', '68855', '1872'
'20/04/2021 23:56:40.265024', '71759', '68858', '1872'
'20/04/2021 23:56:40.267384', '71760', '68853', '1864'
'20/04/2021 23:56:40.270906', '71784', '68874', '1840'
'20/04/2021 23:56:40.272492', '71778', '68874', '1838'
'20/04/2021 23:56:40.280909', '71816', '68877', '1851'
'20/04/2021 23:56:40.281743', '71799', '68880', '1855'
'20/04/2021 23:56:40.282859', '71805', '68885', '1870'
'20/04/2021 23:56:40.283589', '71834', '68883', '1872'
'20/04/2021 23:56:40.285101', '71841', '68889', '1875'
'20/04/2021 23:56:40.287397', '71842', '68894', '1871'
'20/04/2021 23:56:40.290107', '71851', '68898', '1858'
'20/04/2021 23:56:40.292407', '71855', '68900', '1851'
'20/04/2021 23:56:40.295122', '71870', '68905', '1841'
'20/04/2021 23:56:40.297425', '71873', '68915', '1840'
'20/04/2021 23:56:40.300132', '71892', '68913', '1855'
'20/04/2021 23:56:40.302438', '71901', '68925', '1861'
'20/04/2021 23:56:40.304757', '71907', '68926', '1847'
'20/04/2021 23:56:40.307479', '71924', '68928', '1833'
'20/04/2021 23:56:40.309792', '71929', '68935', '1855'
'20/04/2021 23:56:40.312514', '71939', '68938', '1840'
