'07/04/2021 21:36:31.143550', '67425', '62836', '1782'
'07/04/2021 21:36:31.148673', '67404', '62826', '2635'
'07/04/2021 21:36:31.153847', '67382', '62809', '1895'
'07/04/2021 21:36:31.158982', '67344', '62795', '1076'
'07/04/2021 21:36:31.163634', '67302', '62774', '1783'
'07/04/2021 21:36:31.168748', '67257', '62755', '2633'
'07/04/2021 21:36:31.173850', '67203', '62725', '1904'
'07/04/2021 21:36:31.178523', '67147', '62704', '1104'
'07/04/2021 21:36:31.183638', '67083', '62674', '1791'
'07/04/2021 21:36:31.188747', '67025', '62646', '2631'
'07/04/2021 21:36:31.193856', '66965', '62619', '1898'
'07/04/2021 21:36:31.198972', '66895', '62591', '1074'
'07/04/2021 21:36:31.203659', '66830', '62569', '1799'
'07/04/2021 21:36:31.208785', '66769', '62537', '2634'
'07/04/2021 21:36:31.213743', '66705', '62514', '1918'
'07/04/2021 21:36:31.218701', '66641', '62487', '1098'
'07/04/2021 21:36:31.223819', '66582', '62463', '1855'
'07/04/2021 21:36:31.228950', '66527', '62436', '2656'
'07/04/2021 21:36:31.233659', '66466', '62416', '1955'
'07/04/2021 21:36:31.238793', '66424', '62392', '1099'
'07/04/2021 21:36:31.243921', '66378', '62373', '1854'
'07/04/2021 21:36:31.248631', '66334', '62360', '2615'
'07/04/2021 21:36:31.253660', '66303', '62344', '1941'
'07/04/2021 21:36:31.258608', '66271', '62334', '1102'
'07/04/2021 21:36:31.263743', '66241', '62322', '1809'
'07/04/2021 21:36:31.269229', '66222', '62310', '2641'
'07/04/2021 21:36:31.273628', '66201', '62300', '1937'
'07/04/2021 21:36:31.278740', '66188', '62298', '1083'
'07/04/2021 21:36:31.283808', '66187', '62293', '1831'
'07/04/2021 21:36:31.288943', '66179', '62290', '2635'
'07/04/2021 21:36:31.293623', '66178', '62290', '1933'
'07/04/2021 21:36:31.298736', '66179', '62299', '1079'
'07/04/2021 21:36:31.303808', '66196', '62297', '1835'
'07/04/2021 21:36:31.308932', '66203', '62298', '2641'
'07/04/2021 21:36:31.313618', '66212', '62303', '1941'
'07/04/2021 21:36:31.318736', '66233', '62314', '1085'
'07/04/2021 21:36:31.323989', '66254', '62319', '1872'
'07/04/2021 21:36:31.328970', '66273', '62331', '2651'
'07/04/2021 21:36:31.333686', '66291', '62337', '1930'
'07/04/2021 21:36:31.338785', '66314', '62346', '1093'
'07/04/2021 21:36:31.343899', '66340', '62356', '1850'
